Page,Image Path,Content,Table
43,uploads/images\toaz.info-7fb10-30-vol-2\page_43.png,"the plug-in analyzer displays the controller version for approx. 15 seconds, followed by the step below. when the display indication is normal: the screen automatically changes to the language set screen. when an error code is indicated: press the mode switch for transition to the language set screen. (translated to ko)",[]
45,uploads/images\toaz.info-7fb10-30-vol-2\page_45.png,"4.16 4. press switch ③ to call the main menu screen. 5. on the main menu screen, items 2 and 7 are indicated and '2. 7fb' is selected. (1) 2. 7fb function when this item is selected and entered, 7fb menu screen appears. (2) 7. tester set when this control set and tester set functions are indicated as tester set functions, only the contrast set function is used. 6. press switch ③ here to select the 7fb function, and the 7fb menu screen appears. ""7fb menu"" (1) 1. analyzer this function indicates the operation status of the electrical system and reads the information on errors detected by the controller. (2) tuning this function is for fine adjustment related to traveling and material handling. (3) option set this function controls the controller according to the option setting. for a vehicle with the led display, use this function to set the battery type (japanese or locally purchased). 7. select the desired function menu by operating switches ① and ② and press switch ③ (enter) for transition to the function menu or the setting screen. (translated to ko)",[]
46,uploads/images\toaz.info-7fb10-30-vol-2\page_46.png,"analyzer general 1. the analyzer function of the plug-in analyzer allows the operation status of the electrical system including main traveling and material handling circuits, operating systems such as the accelerator, and functions of sensors to be checked, which are useful for troubleshooting. 2. the analyzer functions enable quick, easy servicing. 3. the plug-in analyzer supports control system inspection and troubleshooting through communication with the traveling/material handling controller. 4. analyzer functions are as follows: (1) diagnosis memory function (diag memory) the controller stores up to 10 error codes (diagnosis codes) related to the electrical system detected in the past. the diagnosis function reads the stored error codes and indicates them on the display. (2) input monitor function (i/o monitor) this function indicates analog input values to individual sensors in the traveling and material handling systems on the display. monitoring the display enables the quality of each circuit/sensor to be judged. (1) i/o monitor 1 indicates the temperature and analog input voltage at the respective terminal of each electrical component detected by the controller. (2) i/o monitor 2 indicates the on/off status of traveling related switches and the analog input voltages of sensors. (3) i/o monitor 3 indicates the on/off status of material handling switches and analog input voltages of sensors. (4) i/o monitor 4 indicates the on/off status of other switches. (3) active test (active test) in the active test mode, the controller forcibly outputs an operation signal (on or off signal) to the selected item for functional inspection. (4) one most recent error code at the time is indicated in the right upper corner of each i/o monitor or active test screen. (translated to ko)",[]
47,uploads/images\toaz.info-7fb10-30-vol-2\page_47.png, (translated to ko),"[{'Indication': {'1st indication': 'DIAG-1 ~ DIAG-10', '2nd indication': ''}, 'Description': 'Refer to the Diagnosis List.'}, {'Indication': {'1st indication': 'THCD', '2nd indication': '+25'}, 'Description': 'Main traveling circuit temperature (°C)'}, {'Indication': {'1st indication': 'THCP', '2nd indication': '+25'}, 'Description': 'Main material handling circuit temperature (°C)'}, {'Indication': {'1st indication': 'TD', '2nd indication': '+25'}, 'Description': 'Drive motor temperature (°C)'}, {'Indication': {'1st indication': 'TP', '2nd indication': '+25'}, 'Description': 'Material handling motor temperature (°C)'}, {'Indication': {'1st indication': 'TEMP', '2nd indication': ''}, 'Description': 'Temperature on CPU board (°C)'}, {'Indication': {'1st indication': 'VBBT', '2nd indication': '50.0'}, 'Description': 'Battery voltage (V)'}, {'Indication': {'1st indication': 'VBKY', '2nd indication': '50.0'}, 'Description': 'Voltage after key switch (V)'}, {'Indication': {'1st indication': 'VBP4', '2nd indication': '50'}, 'Description': 'Voltage at P4 terminal (V)'}, {'Indication': {'1st indication': 'VBMB(M)', '2nd indication': '50'}, 'Description': 'Main battery input voltage (V)'}, {'Indication': {'1st indication': 'POTA', '2nd indication': '0.70'}, 'Description': 'Accelerator potentiometer voltage (V)'}, {'Indication': {'1st indication': 'SWAC', '2nd indication': 'OFF'}, 'Description': 'Accelerator switch (OFF/ON)'}, {'Indication': {'1st indication': 'DSF', '2nd indication': 'OFF'}, 'Description': 'Forward switch (OFF/ON)'}, {'Indication': {'1st indication': 'DSR', '2nd indication': 'OFF'}, 'Description': 'Reverse switch (OFF/ON)'}, {'Indication': {'1st indication': 'LSB', '2nd indication': 'ON'}, 'Description': 'Brake switch (OFF/ON)'}, {'Indication': {'1st indication': 'LSD', '2nd indication': 'OFF'}, 'Description': 'Deadman switch (OFF/ON)'}, {'Indication': {'1st indication': 'SSD1', '2nd indication': '00'}, 'Description': 'Drive motor rpm sensor 1 (pulse count)'}, {'Indication': {'1st indication': 'SSD2', '2nd indication': '00'}, 'Description': 'Drive motor rpm sensor 2 (pulse count)'}, {'Indication': {'1st indication': 'SPDM', '2nd indication': '0.0'}, 'Description': 'Main vehicle speed (km/h)'}, {'Indication': {'1st indication': 'LSL', '2nd indication': 'OFF'}, 'Description': 'Lift switch (OFF/ON)'}, {'Indication': {'1st indication': 'LSTF', '2nd indication': 'OFF'}, 'Description': 'Forward tilt switch (OFF/ON)'}, {'Indication': {'1st indication': 'LSTR', '2nd indication': 'OFF'}, 'Description': 'Backward tilt switch (OFF/ON)'}, {'Indication': {'1st indication': 'LSAT1', '2nd indication': 'OFF'}, 'Description': 'Attachment switch 1 (OFF/ON)'}, {'Indication': {'1st indication': 'LSAT2', '2nd indication': 'OFF'}, 'Description': 'Attachment switch 2 (OFF/ON)'}, {'Indication': {'1st indication': 'SSP', '2nd indication': '00'}, 'Description': 'Pump motor rpm sensor: Number of pulses'}, {'Indication': {'1st indication': 'CSBATT', '2nd indication': '2.50'}, 'Description': 'Battery current sensor voltage'}, {'Indication': {'1st indication': 'ACPT', '2nd indication': '0.00'}, 'Description': 'Spare'}, {'Indication': {'1st indication': 'LSCPT', '2nd indication': 'OFF'}, 'Description': 'Spare'}, {'Indication': {'1st indication': 'LSOPT', '2nd indication': 'OFF'}, 'Description': 'Spare'}, {'Indication': {'1st indication': 'FAND', '2nd indication': 'OFF/ON (0)'}, 'Description': 'Traveling circuit fan (Value in ( ) is the controller input value.)'}, {'Indication': {'1st indication': 'FANP', '2nd indication': 'OFF/ON (0)'}, 'Description': 'Material handling circuit fan (Value in ( ) is the controller input value.)'}]"
48,uploads/images\toaz.info-7fb10-30-vol-2\page_48.png, (translated to ko),[]
49,uploads/images\toaz.info-7fb10-30-vol-2\page_49.png,"diag memory general 1. the controller stores up to 10 most recent errors. on the diag memory screen, the stored diagnosis codes are read and displayed on two pages. 2. the most recent diagnosis code is indicated as 1. the second one as 2, the third as 3 and so on down to 10. 3. peform troubleshooting for the faulty portion by referring to ""section 5. troubleshooting"". (translated to ko)",[]
50,uploads/images\toaz.info-7fb10-30-vol-2\page_50.png,"in/out monitor menu general 1. the in/out monitor function displays the on/off status of each switch and analog input value from each sensor in the traveling, material handling and eps systems on the analyzer screen. 2. monitor the displayed switch status and analog input value for judgment on the quality of each switch and sensor. 3. for detailed items that can be monitored, see the ""analyzer screen list"" on page 4-18. (translated to ko)",[]
51,uploads/images\toaz.info-7fb10-30-vol-2\page_51.png,i/o monitor 1 this function indicates the temperature of each electrical component and the voltage at the respective terminal. (translated to ko),[]
53,uploads/images\toaz.info-7fb10-30-vol-2\page_53.png,i/o monitor 2 this function indicates the on/off status of each traveling-related switch and analog input voltage of each sensor. (translated to ko),[]
54,uploads/images\toaz.info-7fb10-30-vol-2\page_54.png,i/o monitor 2 (2/2) screen use this function for checking the vehicle speed sensor defect detecting circuit 1) ssd1: traveling rpm sensor 1 (pulse count) 2) ssd2: traveling rpm sensor 2 (pulse count) 3) spd m: main vehicle speed (km/h) • check each rpm sensor and the main vehicle speed under actual traveling state with the wheels jacked up. when vehicle is stopping: ssd1: 00 ssd2: 00 spd: 0.0 during acceleration after starting the vehicle the quality is ok if both the pulse counts from ssd1 and ssd2 increase and the spd value increase with the vehicle speed. (translated to ko),"[{'Parameter': 'I/O MONITOR 2 (1/2)', 'Value': ''}, {'Parameter': 'I/O MONITOR 2 (2/2)', 'Value': 'SSD1: 00\nSSD2: 00\nSPD M: 0.0'}]"
55,uploads/images\toaz.info-7fb10-30-vol-2\page_55.png,i/o monitor 3 screen (translated to ko),"{'title': 'I/O MONITOR 3 (1/1)', 'headers': ['LSL1', 'LSTF', 'LSTR', 'LSAT1', 'LSAT2', 'SSP'], 'values': ['OFF', 'OFF', 'OFF', 'OFF', 'OFF', '0']}"
56,uploads/images\toaz.info-7fb10-30-vol-2\page_56.png,i/o monitor 4 this function displays the analog input voltage from any other switch or sensor. operation procedure 1. display the in/out menu screen. 2. check that i/o monitor4 is highlighted and press switch ③ to display the i/o monitor4 screen. 3. functions of switches on this screen are as follows: • switch ①: unused (no indication) • switch ②: unused (no indication) • switch ③: changes the screen from i/o monitor4 to the in/out menu screen. note: it is impossible to directly jump from i/o monitor4 screen to another test screen. return to the in/out menu screen or analyzer menu screen once and go to the desired test screen then. (translated to ko),"[{'Parameter': 'CSBATT', 'Description': 'Battery current sensor voltage (V)\nVoltage of the sensor that detects the bat-tery current'}, {'Parameter': 'ACPT', 'Description': 'Spare'}, {'Parameter': 'LSOPT1', 'Description': 'Spare'}, {'Parameter': 'LSOPT2', 'Description': 'Spare'}]"
57,uploads/images\toaz.info-7fb10-30-vol-2\page_57.png,active test this function outputs electrical switch on/off signals and compares controller input signals with those signals. (translated to ko),[]
58,uploads/images\toaz.info-7fb10-30-vol-2\page_58.png,"tuning general when the user requests to limit the maximum speed or weaken the regenerative braking force, use the plug-in analyzer and change the setting level. twelve tuning items including spares are provided. (translated to ko)","[{'TUNING': 'NO.1', 'Setting': 'Setting regenerative braking torque (switch back)'}, {'TUNING': 'NO.2', 'Setting': 'Setting regenerative braking torque (accelerator off)'}, {'TUNING': 'NO.3', 'Setting': 'Lift interrupt level setting'}, {'TUNING': 'NO.4', 'Setting': 'Battery charge indicator correction'}, {'TUNING': 'NO.5', 'Setting': 'Maximum speed limiter'}, {'TUNING': 'NO.6', 'Setting': 'Pump motor rpm setting upon attachment switch ON'}, {'TUNING': 'NO.7', 'Setting': 'Pump motor rpm setting upon lift switch ON'}, {'TUNING': 'NO.8', 'Setting': 'Spare'}, {'TUNING': 'NO.9', 'Setting': 'Spare'}, {'TUNING': 'NO.10', 'Setting': 'Spare'}, {'TUNING': 'NO.11', 'Setting': 'Spare'}, {'TUNING': 'NO.12', 'Setting': 'Spare'}]"
59,uploads/images\toaz.info-7fb10-30-vol-2\page_59.png, (translated to ko),"[{'Tuning No.': '1', 'Item': 'Setting regenerative braking torque (switch back)\nAdjustment of regenerative braking torque during switch back operation', 'Level': {'1': 'Weak', '8': 'Strong'}}, {'Tuning No.': '2', 'Item': 'Setting regenerative braking torque (accelerator off)\nChanging the regenerative braking torque when acceleration is OFF', 'Level': {'1': 'None', '2': 'Weak', '8': 'Strong'}}, {'Tuning No.': '3', 'Item': 'Lift interrupt level setting\nAdjustment of overcharge alarm activation timing\n(prohibiting simultaneous traveling and material handling)', 'Level': {'1': 'Small', '8': 'Large/Wide'}}, {'Tuning No.': '4', 'Item': 'Battery charge indication correction\nCorrection of decrease in battery charge indication', 'Level': {'1': 'Slow decrease', '8': 'Quick decrease'}}, {'Tuning No.': '5', 'Item': 'Maximum speed limiter\nAdjustment of maximum vehicle speed', 'Level': {'1': 'Low speed', '7': 'High speed', '8': 'None'}}, {'Tuning No.': '6', 'Item': 'Attachment power control No.1\nAdjustment of pump motor rpm upon attachment switch No.1 ON', 'Level': {'1': 'Low speed', '8': 'High speed'}}, {'Tuning No.': '7', 'Item': 'Tilt power control\nAdjustment of pump motor rpm upon tilt switch ON (The mast control speed of SAS function cannot be adjusted.)', 'Level': {'1': 'Low speed', '8': 'High speed'}}, {'Tuning No.': '8', 'Item': 'Spare', 'Level': {}}, {'Tuning No.': '9', 'Item': 'Spare', 'Level': {}}, {'Tuning No.': '10', 'Item': 'Spare', 'Level': {}}, {'Tuning No.': '11', 'Item': 'Spare', 'Level': {}}, {'Tuning No.': '12', 'Item': 'Spare', 'Level': {}}]"
60,uploads/images\toaz.info-7fb10-30-vol-2\page_60.png,remaining battery charge alarm and battery overdischarge alarm setting (translated to ko),"[{'Discharge level': '50%~59%', 'Tuning setting level': '1'}, {'Discharge level': '60%~69%', 'Tuning setting level': '2'}, {'Discharge level': '70%~79%', 'Tuning setting level': '3'}, {'Discharge level': '80%', 'Tuning setting level': '4'}, {'Discharge level': '81%~89%', 'Tuning setting level': '5'}, {'Discharge level': '90%', 'Tuning setting level': '6'}, {'Discharge level': '91%~99%', 'Tuning setting level': '7'}, {'Discharge level': '100%', 'Tuning setting level': '8'}]"
61,uploads/images\toaz.info-7fb10-30-vol-2\page_61.png,"option set general use the option set function to adjust the controller and display control to match option setting of the vehicle. seven option setting items including spares are provided. for a vehicle with no led display, it is possible to set only whether or not the battery has been mounted on the vehicle. in this case, six remaining items are reserved as spares. (translated to ko)",[]
62,uploads/images\toaz.info-7fb10-30-vol-2\page_62.png,"tester set general although the contrast set and language set functions are displayed on the tester set menu screen, only the contrast set function is used. 1. contrast set this adjusts the contrast of the lcd display. 2. language set this is not used. though this function may be selected by moving the cursor on the menu, the display is always made in english. it is, however, recommended to select 2. english. (translated to ko)","[{'MAIN MENU': '2. TFB', 'TESTER SET MENU': '1. CONTRAST SET\n2. LANGUAGE SET', 'CONTRAST SET': 'CONTRAST LEVEL 4'}]"
66,uploads/images\toaz.info-7fb10-30-vol-2\page_66.png, (translated to ko),[]
67,uploads/images\toaz.info-7fb10-30-vol-2\page_67.png, (translated to ko),[]
68,uploads/images\toaz.info-7fb10-30-vol-2\page_68.png,normally indicated screen (translated to ko),"[{'Key': '① Key ON hour meter:', 'Description': 'Indicate the total key ON hours.'}, {'Key': '② Traveling material handling hour meter:', 'Description': 'Drive/pump motor ON hours'}, {'Key': '③ Traveling and material handling hour meter:', 'Description': 'Total of drive and pump motor ON hours'}, {'Key': '④ Odometer:', 'Description': 'Total traveling distance'}, {'Key': '⑤ Hour meter/lap:', 'Description': 'Lap time at key ON'}, {'Key': '⑥ Trip meter:', 'Description': 'Trip traveling distance'}]"
70,uploads/images\toaz.info-7fb10-30-vol-2\page_70.png,power control function set screen this screen sets the drive and lift power control levels independently. press switch 3 on the over-speed alarm set screen to go to the power control function set screen. (translated to ko),"[{'Screen': 'DRIVE POWER CONTROL screen', 'Instructions': ['Press switch 1 to decrease the set level.', 'Press switch 2 to increase the set level.', 'Press switch 3 to go to the next menu, LIFT POWER CONTROL screen.']}, {'Screen': 'LIFT POWER CONTROL screen', 'Instructions': ['Press switch 1 to decrease the set level.', 'Press switch 2 to increase the set level.', 'Press switch 3 to go to the next menu, CLOCK SET screen.']}]"
71,uploads/images\toaz.info-7fb10-30-vol-2\page_71.png,"clock set screen the year, month, day of week, time and 12/24 hour system can be set independently. press switch ② on the power control function set screen, select ""no"" and press switch ③ to open the clock set screen. (translated to ko)",[]
72,uploads/images\toaz.info-7fb10-30-vol-2\page_72.png,"diagnosis 1. when diagnosis is activated, a spanner symbol appears on the display with alarm sounding to warn the operator of an abnormal state of the vehicle. 2. also, one or up to 3 diagnosis codes appear to indicate the trouble positions. 3. the battery charge can be checked even while diagnosis codes are displayed. (translated to ko)","[{'Display indication': '51-1', 'Diag memory': '51-1', 'Faulty portion': 'Traveling speed sensor', 'Defect mode': 'Sensor open', 'Phenomenon on vehicle': 'Swing lock during turning disabled\nPS normal (partial function restricted)'}, {'Display indication': '51-2', 'Diag memory': '51-2', 'Faulty portion': 'Traveling speed sensor', 'Defect mode': 'Sensor shorted to the ground', 'Phenomenon on vehicle': 'Swing lock during turning disabled'}, {'Display indication': '52-1', 'Diag memory': '52-1', 'Faulty portion': 'Yaw rate sensor', 'Defect mode': 'Open', 'Phenomenon on vehicle': 'Swing lock during turning disabled'}, {'Display indication': '52-2', 'Diag memory': '52-2', 'Faulty portion': 'Yaw rate sensor', 'Defect mode': 'VCC shorted', 'Phenomenon on vehicle': 'Swing lock during turning disabled'}, {'Display indication': '52-3', 'Diag memory': '52-3', 'Faulty portion': 'Yaw rate sensor', 'Defect mode': 'Neutral voltage abnormality', 'Phenomenon on vehicle': 'Swing lock during turning disabled'}, {'Display indication': '54-1', 'Diag memory': '54-1', 'Faulty portion': 'Swing solenoid', 'Defect mode': 'Abnormality', 'Phenomenon on vehicle': 'Swing lock state holding'}, {'Display indication': '54-2', 'Diag memory': '54-2', 'Faulty portion': 'Swing solenoid', 'Defect mode': 'Abnormality', 'Phenomenon on vehicle': 'Swing lock state holding'}, {'Display indication': '61-1', 'Diag memory': '61-1', 'Faulty portion': 'Pressure sensor', 'Defect mode': 'Open', 'Phenomenon on vehicle': 'NL control\nNo forward tilt restriction\nNo automatic leveling control'}, {'Display indication': '61-2', 'Diag memory': '61-2', 'Faulty portion': 'Pressure sensor', 'Defect mode': 'VCC shorted', 'Phenomenon on vehicle': 'No forward tilt restriction\nNo automatic leveling control'}, {'Display indication': '62-1', 'Diag memory': '62-1', 'Faulty portion': 'Tilt angle sensor', 'Defect mode': 'Open', 'Phenomenon on vehicle': 'No automatic leveling control'}, {'Display indication': '62-2', 'Diag memory': '62-2', 'Faulty portion': 'Tilt angle sensor', 'Defect mode': 'Open circuit of ground wiring', 'Phenomenon on vehicle': 'No automatic leveling control'}, {'Display indication': '63-1', 'Diag memory': '63-1', 'Faulty portion': 'Tilt switch', 'Defect mode': 'Simultaneous ON of forward and backward tilt switches', 'Phenomenon on vehicle': 'No forward tilt restriction'}, {'Display indication': '63-2', 'Diag memory': '63-2', 'Faulty portion': 'Tilt switch', 'Defect mode': 'Shorting of forward tilt switch for 2 minutes or more', 'Phenomenon on vehicle': 'No automatic leveling control'}, {'Display indication': '63-3', 'Diag memory': '63-3', 'Faulty portion': 'Tilt switch', 'Defect mode': 'Shorting of backward tilt switch for 2 minutes or more', 'Phenomenon on vehicle': '( Forward tilting disabled)'}, {'Display indication': '64-1', 'Diag memory': '64-1', 'Faulty portion': 'Lift solenoid', 'Defect mode': 'Solenoid open', 'Phenomenon on vehicle': 'Interruption of lift solenoid output'}, {'Display indication': '64-2', 'Diag memory': '64-2', 'Faulty portion': 'Lift solenoid', 'Defect mode': 'Shorted', 'Phenomenon on vehicle': 'Interruption of lift solenoid output'}, {'Display indication': '65-1', 'Diag memory': '65-1', 'Faulty portion': 'Tilt solenoid', 'Defect mode': 'Solenoid open', 'Phenomenon on vehicle': 'Interruption of tilt solenoid output'}, {'Display indication': '65-2', 'Diag memory': '65-2', 'Faulty portion': 'Tilt solenoid', 'Defect mode': 'Shorted', 'Phenomenon on vehicle': 'Interruption of tilt solenoid output'}, {'Display indication': '66-1', 'Diag memory': '66-1', 'Faulty portion': 'Tilt angle sensor', 'Defect mode': 'Tilt matching abnormality', 'Phenomenon on vehicle': 'No forward tilt restriction\nNo automatic leveling control'}]"
73,uploads/images\toaz.info-7fb10-30-vol-2\page_73.png, (translated to ko),"[{'Display indication memory': '67-1', 'Diag memory': '67-1', 'Faulty portion': 'Lifting height switch W/SAS', 'Defect mode': 'Switch abnormality', 'Phenomenon on vehicle': 'Low lifting height control'}, {'Display indication memory': '', 'Diag memory': '', 'Faulty portion': 'Mode switch W/O SAS', 'Defect mode': '', 'Phenomenon on vehicle': 'No forward tilt restriction\nNo automatic leveling control'}, {'Display indication memory': '71-1', 'Diag memory': '71-1', 'Faulty portion': 'Tire angle sensor', 'Defect mode': 'Open', 'Phenomenon on vehicle': 'Knob offset occurrence'}, {'Display indication memory': '71-2', 'Diag memory': '71-2', 'Faulty portion': 'Tire angle sensor', 'Defect mode': 'VCC shorted', 'Phenomenon on vehicle': 'Knob offset occurrence'}, {'Display indication memory': '72-1', 'Diag memory': '72-1', 'Faulty portion': 'Steering angle sensor', 'Defect mode': 'SS1 abnormality', 'Phenomenon on vehicle': 'Heavy steering wheel'}, {'Display indication memory': '72-2', 'Diag memory': '72-2', 'Faulty portion': 'Steering angle sensor', 'Defect mode': 'SWS2 abnormality', 'Phenomenon on vehicle': 'Heavy steering wheel'}, {'Display indication memory': '72-3', 'Diag memory': '72-3', 'Faulty portion': 'Steering angle sensor', 'Defect mode': 'SSC abnormality', 'Phenomenon on vehicle': 'Knob offset occurrence'}, {'Display indication memory': '72-4', 'Diag memory': '72-4', 'Faulty portion': 'Steering angle sensor', 'Defect mode': 'Sensor open', 'Phenomenon on vehicle': 'PS operation disabled'}, {'Display indication memory': '73-1', 'Diag memory': '73-1', 'Faulty portion': 'Knob deviation solenoid', 'Defect mode': 'Solenoid open', 'Phenomenon on vehicle': 'Knob offset occurrence'}, {'Display indication memory': '73-2', 'Diag memory': '73-2', 'Faulty portion': 'Knob deviation solenoid', 'Defect mode': 'Solenoid shorted', 'Phenomenon on vehicle': 'Knob offset occurrence'}, {'Display indication memory': '74-1', 'Diag memory': '74-1', 'Faulty portion': 'Tire angle sensor', 'Defect mode': 'Matching abnormality', 'Phenomenon on vehicle': 'Knob offset occurrence'}, {'Display indication memory': 'A0-1', 'Diag memory': 'A0-1', 'Faulty portion': 'Main drive circuit temperature', 'Defect mode': 'Overheat', 'Phenomenon on vehicle': 'Restricted drive output'}, {'Display indication memory': 'A0-2', 'Diag memory': 'A0-2', 'Faulty portion': 'Main lift circuit temperature', 'Defect mode': 'Overheat', 'Phenomenon on vehicle': 'Restricted material handling output'}, {'Display indication memory': 'A0-4', 'Diag memory': 'A0-4', 'Faulty portion': 'Traveling system fan', 'Defect mode': 'Shorted', 'Phenomenon on vehicle': 'Limited drive output'}, {'Display indication memory': 'A0-5', 'Diag memory': 'A0-5', 'Faulty portion': 'Material handling system fan', 'Defect mode': 'Shorted', 'Phenomenon on vehicle': 'Restricted lift output'}, {'Display indication memory': 'A1', 'Diag memory': 'A1', 'Faulty portion': 'Controller', 'Defect mode': 'High voltage', 'Phenomenon on vehicle': 'Traveling and material handling are halted after abnormality indication'}, {'Display indication memory': 'A2', 'Diag memory': 'A2', 'Faulty portion': 'CPU temperature', 'Defect mode': 'Overheat', 'Phenomenon on vehicle': 'Restricted drive output'}, {'Display indication memory': 'A3-1', 'Diag memory': 'A3-1', 'Faulty portion': 'Incorrect battery connection', 'Defect mode': 'Charger-related incorrect connection', 'Phenomenon on vehicle': 'Stopped traveling and material handling\nMB does not turn ON'}, {'Display indication memory': 'A3-2', 'Diag memory': 'A3-2', 'Faulty portion': 'Incorrect battery connection', 'Defect mode': 'Incorrect battery voltage', 'Phenomenon on vehicle': 'Stopped traveling and material handling\nMB remains OFF'}, {'Display indication memory': 'A4', 'Diag memory': 'A4', 'Faulty portion': 'Accelerator switch', 'Defect mode': 'Switch abnormality', 'Phenomenon on vehicle': 'Traveling disabled after abnormality indication'}, {'Display indication memory': 'A6-1', 'Diag memory': 'A6-1', 'Faulty portion': 'Lift switch', 'Defect mode': 'Limit switch LSL1 abnormality', 'Phenomenon on vehicle': 'Traveling disabled after abnormality indication'}, {'Display indication memory': 'A6-3', 'Diag memory': 'A6-3', 'Faulty portion': 'Lift switch', 'Defect mode': 'Limit switch LSTF, LSTR abnormality', 'Phenomenon on vehicle': 'Traveling disabled after abnormality indication'}, {'Display indication memory': 'A6-5', 'Diag memory': 'A6-5', 'Faulty portion': 'Lift switch', 'Defect mode': 'Limit switch LSAT1 abnormality', 'Phenomenon on vehicle': 'Traveling disabled after abnormality indication'}, {'Display indication memory': 'A6-6', 'Diag memory': 'A6-6', 'Faulty portion': 'Lift switch', 'Defect mode': 'Limit switch LSAT2 abnormality', 'Phenomenon on vehicle': 'Traveling disabled after abnormality indication'}, {'Display indication memory': 'A8', 'Diag memory': 'A8', 'Faulty portion': 'Traveling/material handling system', 'Defect mode': 'Open fuse F1', 'Phenomenon on vehicle': 'Indication only'}, {'Display indication memory': 'AA', 'Diag memory': 'AA', 'Faulty portion': 'CPU temperature sensor', 'Defect mode': 'Temperature sensor abnormality', 'Phenomenon on vehicle': 'Indication only'}]"
